loss,accuracy,recall,precision,val_loss,val_accuracy,val_recall,val_precision
0.4666218161582947,0.8304018378257751,0.748060941696167,0.22724425792694092,0.39208266139030457,0.8799706101417542,0.3764612674713135,0.22403956949710846
0.43789586424827576,0.8497961163520813,0.7552766799926758,0.2528880834579468,0.3909723162651062,0.8843836784362793,0.364805668592453,0.22999325394630432
0.41801339387893677,0.8538212776184082,0.7657599449157715,0.2603546679019928,0.38525426387786865,0.8740091919898987,0.3786337375640869,0.2126670479774475
0.39757776260375977,0.8506281971931458,0.791370153427124,0.2598852217197418,0.37101292610168457,0.8686813116073608,0.38618573546409607,0.2053016573190689
0.37546053528785706,0.849366307258606,0.8141981959342957,0.2616710662841797,0.38320595026016235,0.8185031414031982,0.6067795157432556,0.19398295879364014
0.3569835126399994,0.8486748337745667,0.8380470275878906,0.2643156349658966,0.3318808972835541,0.859290361404419,0.5407772660255432,0.23099811375141144
0.33739548921585083,0.8568236827850342,0.8487305045127869,0.27757465839385986,0.3064432442188263,0.8595888614654541,0.5353977680206299,0.2302296906709671
0.3247741758823395,0.8639222979545593,0.8530639410018921,0.28924137353897095,0.40162065625190735,0.8455314040184021,0.5757095217704773,0.21874713897705078
0.30681875348091125,0.8680599927902222,0.863762378692627,0.29759225249290466,0.42879149317741394,0.8480954766273499,0.5775026679039001,0.22260770201683044
0.29703059792518616,0.8711711168289185,0.8711181879043579,0.30395665764808655,0.3249640166759491,0.8567305207252502,0.5775716304779053,0.23519252240657806
0.2850807011127472,0.8737549781799316,0.8784089684486389,0.3095259368419647,0.4464884102344513,0.8476767539978027,0.5746060013771057,0.22141167521476746
0.2721911668777466,0.8805700540542603,0.8832978010177612,0.3229193687438965,0.40371060371398926,0.854179322719574,0.5567088723182678,0.22676704823970795
0.2600054442882538,0.8848981261253357,0.8909138441085815,0.33252525329589844,0.5026757717132568,0.8522616028785706,0.5711231231689453,0.227122500538826
0.25278162956237793,0.8851190805435181,0.898354709148407,0.3339018225669861,0.3937969505786896,0.85308837890625,0.5765715837478638,0.22950640320777893
0.23874005675315857,0.888175904750824,0.9089330434799194,0.34154462814331055,0.4802273213863373,0.8637120127677917,0.5443291068077087,0.23903989791870117
0.22904862463474274,0.8923148512840271,0.912966251373291,0.35099509358406067,0.46611863374710083,0.8550512194633484,0.5680885314941406,0.23057973384857178
0.21934236586093903,0.8960661292076111,0.9196265339851379,0.3602759540081024,0.5090981125831604,0.8710499405860901,0.5314666032791138,0.2490949034690857
0.21307767927646637,0.8991444706916809,0.9220083951950073,0.3678351938724518,0.4488008916378021,0.8813707828521729,0.5288113355636597,0.2694510817527771
0.20323827862739563,0.9038373827934265,0.9261516332626343,0.37995877861976624,0.43254944682121277,0.8896901607513428,0.5248112082481384,0.2882058918476105
0.19766083359718323,0.9059595465660095,0.9288638234138489,0.3857492208480835,0.558417022228241,0.8590992093086243,0.5530190467834473,0.23347941040992737
